[02:49:00] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:49:02] [ServerMain/INFO]: Loaded 7 recipes
[02:49:02] [ServerMain/INFO]: Loaded 1179 advancements
[02:49:03] [Server thread/INFO]: Starting minecraft server version 1.19.4
[02:49:03] [Server thread/INFO]: Loading properties
[02:49:03] [Server thread/INFO]: Default game type: SURVIVAL
[02:49:03] [Server thread/INFO]: Generating keypair
[02:49:03] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:49:03] [Server thread/INFO]: Using epoll channel type
[02:49:03] [Server thread/INFO]: Preparing level "world"
[02:49:35] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[02:49:35] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[02:49:36] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[02:49:36] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[02:49:37] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[02:49:37] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[02:49:38] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[02:49:38] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[02:49:39] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:49:39] [Worker-Main-1/INFO]: Preparing spawn area: 49%
[02:49:40] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[02:49:40] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[02:49:41] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[02:49:41] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[02:49:42] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[02:49:42] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[02:49:43] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[02:49:43] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[02:49:44] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[02:49:44] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[02:49:45] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[02:49:45] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[02:49:46] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[02:49:46] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[02:49:47] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:49:47] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:49:48] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[02:49:48] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[02:49:49] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[02:49:49] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[02:49:50] [Worker-Main-3/INFO]: Preparing spawn area: 73%
[02:49:50] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[02:49:51] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[02:49:51] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[02:49:52] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[02:49:52] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[02:49:53] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[02:49:53] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[02:49:54] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[02:49:54] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[02:49:55] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[02:49:55] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[02:49:56] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[02:49:56] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[02:49:57] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[02:49:57] [Worker-Main-1/INFO]: Preparing spawn area: 92%
[02:49:58] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[02:49:58] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[02:49:59] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[02:49:59] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[02:50:00] [Worker-Main-1/INFO]: Preparing spawn area: 99%
[02:50:00] [Server thread/INFO]: Time elapsed: 48585 ms
[02:50:00] [Server thread/INFO]: Done (56.828s)! For help, type "help"
[02:50:08] [Server thread/INFO]: Added ClayGamer01 to the whitelist
[02:50:16] [Server thread/INFO]: Added Quindolin to the whitelist
[02:50:24] [Server thread/INFO]: Added annapeeps9 to the whitelist
